Car Brand,Car Model,Model Year,Car Price (in $),Car Mileage (in miles)
INFINITI,QX60,2019,34998,30065
Nissan,LEAF,2021,37590,11725
Nissan,Titan,2017,34999,76506
Nissan,Rogue,2019,14445,169206
Mercedes-Benz,GLE,2020,46900,46009
Ferrari,612 Scaglietti,2005,99995,15104
Mercedes-Benz,GLE,2020,49900,34772
Mercedes-Benz,GLC,2022,49785,2825
Ford,Escape,2019,16495,125438
Nissan,Rogue,2020,19995,40842
Mercedes-Benz,C-Class,2019,33900,16650
Mercedes-Benz,GLS,2019,49900,31501
Mercedes-Benz,GLC,2022,49910,5970
Mercedes-Benz,GLC,2022,50385,5710
Mercedes-Benz,GLC,2022,50135,6137
Mercedes-Benz,GLE,2020,49900,35750
Mercedes-Benz,GLC,2022,50385,2569
Mercedes-Benz,C-Class,2019,34900,14717
Lexus,RX,2019,34569,53325
Mercedes-Benz,C-Class,2019,34900,17670
Mercedes-Benz,GLS,2019,53969,15412
Mercedes-Benz,A-Class,2019,28969,27840
Porsche,Cayenne,2019,65995,15983
Mercedes-Benz,C-Class,2019,34900,17548
Toyota,Corolla,2013,12995,60390
Porsche,Cayenne,2019,63995,25852
Mercedes-Benz,GLC,2022,49985,6510
Toyota,Corolla,2020,21269,25867
Toyota,FJ Cruiser,2008,15995,127369
Lexus,ES,2019,35069,9276
Chevrolet,Equinox,2019,25987,18810
Chrysler,Pacifica,2019,25495,20264
Nissan,Rogue,2019,23488,19124
Lexus,RX,2019,37569,35740
Lexus,NX,2019,33569,15426
Audi,A8,2019,56269,23302
Mercedes-Benz,C-Class,2019,38900,22099
Lexus,ES,2018,31969,10064
Honda,Civic,2013,12995,63361
Nissan,Rogue,2016,16788,54896
Nissan,Altima,2020,19495,23167
Bentley,Continental Supersports,2018,209995,10866
Toyota,Corolla,2020,19797,61483
Jeep,Grand Cherokee,2019,28995,42068
Mercedes-Benz,GLE,2020,52900,30830
Mercedes-Benz,GLA,2019,30995,27086
Lexus,RX,2012,16069,118329
Honda,CR-V,2019,26998,29536
Mercedes-Benz,S-Class,2022,119900,2024
Mercedes-Benz,GLC,2018,35900,21822
Mercedes-Benz,GLE,2020,54900,26620
Mercedes-Benz,G-Class,2016,79900,51835
Lexus,IS,2019,32069,24772
Mercedes-Benz,CLS,2019,59900,18749
Mercedes-Benz,GLC,2022,49485,5876
Porsche,Macan,2021,56995,7475
Porsche,Macan,2018,50995,30630
Lexus,ES,2019,33569,63526
Rolls-Royce,Cullinan,2021,439500,4810
Ford,Bronco Sport,2021,36969,7888
Nissan,Rogue,2019,20995,35271
Chevrolet,Equinox,2019,18500,24129
Chevrolet,Malibu,2020,20000,60597
Ford,F-150,2019,42995,77596
Mercedes-Benz,GLC,2018,37942,22974
Mercedes-Benz,GLB,2022,46515,3530
Nissan,Rogue,2020,24998,40656
Mercedes-Benz,C-Class,2016,14999,110000
Hyundai,Accent,2018,14569,44375
Mercedes-Benz,GLB,2021,42900,4662
Honda,Accord,2015,13995,104456
Ford,Fusion,2017,16995,70177
Chevrolet,Equinox,2019,26789,23079
Mercedes-Benz,CLA,2020,36900,31490
Nissan,Rogue,2020,24788,26542
Audi,A8,2019,54212,38424
Lamborghini,Urus,2020,259995,18581
Audi,Q3,2016,15998,117006
Mercedes-Benz,GLA,2019,32900,24930
Mercedes-Benz,E-Class,2019,42900,26000
Audi,Q5,2019,35158,32759
Porsche,Macan,2018,45995,26396
Acura,MDX,2020,38998,8729
Mercedes-Benz,E-Class,2014,43995,60080
Lexus,RX,2019,37069,38460
Porsche,Macan,2018,48995,38427
Toyota,RAV4,2019,27588,35726
Jeep,Grand Cherokee,2016,22995,92100
Toyota,Camry,2017,18995,82952
Nissan,Rogue,2021,29998,11281
Nissan,Murano,2019,25069,45189
Mercedes-Benz,C-Class,2018,32900,16649
Mercedes-Benz,S-Class,2020,79900,23653
Mercedes-Benz,E-Class,2008,7995,130638
Rolls-Royce,Ghost,2021,374900,6099
BMW,X5,2018,24995,134944
Nissan,Rogue,2019,26488,17134
Mercedes-Benz,E-Class,2019,56900,33130
Chrysler,Pacifica,2019,24495,41507
Lexus,ES,2017,21995,102338
Chevrolet,Equinox,2019,20500,29941
BMW,3 Series,2014,14995,85036
Volkswagen,Tiguan,2019,22987,11104
Mercedes-Benz,E-Class,2019,82995,25688
Nissan,Rogue,2019,23588,22816
Nissan,Sentra,2019,14995,56635
Ford,Edge,2021,25597,51609
Nissan,Rogue,2018,19500,50278
Volvo,XC60,2019,36490,29212
Mercedes-Benz,S-Class,2020,78900,18381
BMW,X5,2014,18999,80511
Ford,Explorer,2019,29495,29775
Ford,EcoSport,2020,20097,43530
Lexus,NX,2016,25469,78894
Audi,Q5,2019,31121,47361
Mercedes-Benz,M-Class,2012,13995,120257
Porsche,911,2019,105995,8110
Porsche,Macan,2018,45966,20339
Lexus,RX,2022,49969,1486
Jeep,Grand Cherokee,2019,33500,21317
Toyota,Corolla,2016,15995,70996
Mercedes-Benz,SL,2004,14495,78201
Ram,1500 Classic,2019,31994,35641
Honda,HR-V,2019,22889,20933
Ford,Escape,2019,18995,64541
Ford,EcoSport,2020,20097,43439
Jeep,Cherokee,2019,19995,88968
Dodge,Grand Caravan,2018,16995,85566
Mercedes-Benz,G-Class,2019,148900,22831
Mercedes-Benz,CLA,2019,32900,9462
Nissan,Rogue,2019,25488,18790
Nissan,Rogue,2019,19995,41432
Ford,Edge,2019,26888,32554
Nissan,Murano,2019,26388,18559
Ford,Explorer,2019,29998,40186
Ford,Explorer,2019,28998,41680
Ford,EcoSport,2020,19197,51236
Nissan,Rogue,2020,20995,46505
GMC,Acadia,2017,12493,199048
Jeep,Grand Cherokee,2013,12450,107207
Nissan,Rogue,2019,25998,27817
Saab,9-3,2007,6995,92120
Nissan,Rogue,2015,17588,47471
Toyota,Camry,2015,15995,86645
Lexus,UX,2020,34069,26780
Mercedes-Benz,GLE,2020,54900,18995
Mercury,Milan,2010,6995,60470
Mercedes-Benz,C-Class,2015,20407,76282
Honda,Accord,2019,21995,39471
Ford,Explorer,2021,34797,44371
Hyundai,Elantra,2020,18897,50849
Honda,Civic,2019,20500,32384
Mercedes-Benz,GLE,2020,56900,14798
Ford,Bronco Sport,2021,33995,2917
Volvo,XC90,2019,48660,23327
Audi,Q5,2019,34374,20252
Ford,F-150,2014,12393,199804
Nissan,Rogue,2019,22175,30272
Mercedes-Benz,CLA,2020,39900,7609
Nissan,Rogue,2019,27788,17459
Nissan,Altima,2020,19095,46521
Mercedes-Benz,C-Class,2019,34900,18244
Mercedes-Benz,E-Class,2021,59900,6912
Mazda,Mazda6,2008,3999,155127
Mitsubishi,Outlander,2020,23869,13269
Lexus,NX,2015,22869,79754
Mercedes-Benz,GLS,2020,69900,20292
Ford,Explorer,2018,29995,28182
Toyota,Sienna,2019,23995,159635
Mercedes-Benz,Sprinter Cargo Van,2012,9995,244608
Mercedes-Benz,E-Class,2021,58900,23065
Rolls-Royce,Ghost,2018,229000,49672
Acura,ILX,2020,24969,6998
Hyundai,Santa Fe,2019,18219,95188
Mazda,CX-5,2019,25000,25698
Subaru,Forester,2019,26995,34450
Ford,Econoline Commercial Cutaway,2011,19997,28432
Lexus,LS,2019,55569,20670
Volvo,XC90,2019,45150,16908
Subaru,Outback,2019,30398,25374
BMW,X5,2019,47545,29103
Mercedes-Benz,C-Class,2019,33900,26259
Volkswagen,Jetta,2021,22995,18175
Toyota,Camry,2019,22995,49256
Mazda,Mazda3,2018,17495,29916
Nissan,Rogue,2020,20500,61309
Audi,Q5,2019,32716,34000
Chevrolet,Equinox,2019,21500,4961
Porsche,Cayenne,2020,73995,14949
Nissan,Altima,2020,21597,44764
Mercedes-Benz,GLC,2022,52335,3454
Mercedes-Benz,S-Class,2021,106900,13126
BMW,3 Series,2017,15999,48475
Bentley,Flying Spur,2020,252500,3096
Chevrolet,Express Cargo Van,2008,5942,208750
Mercedes-Benz,S-Class,2022,114778,3909
Mercedes-Benz,GLC,2022,50660,4816
Jeep,Wrangler,2020,36597,48882
Audi,Q5,2019,35036,20890
GMC,Acadia,2017,23995,55165
Honda,Civic,2019,16625,45274
Mercedes-Benz,GLS,2020,67900,38465
Nissan,Rogue,2019,15495,61410
Honda,Civic,2018,15995,28006
Jeep,Grand Cherokee,2018,29995,37849
BMW,X5,2019,49995,31190
Volkswagen,Atlas,2019,30945,34468
Mercedes-Benz,S-Class,2018,109995,20030
Chevrolet,Equinox,2019,22500,24196
Hyundai,Santa Fe,2020,24597,42589
Mazda,Mazda3,2019,19995,38438
Dodge,Durango,2015,20995,77045
Mercedes-Benz,GLS,2019,54900,29494
Audi,SQ5,2019,45131,26861
Nissan,Rogue,2019,22795,35944
Jeep,Wrangler,2017,27891,88536
Nissan,Sentra,2019,19495,13321
Mazda,CX-9,2019,28998,29935
Mazda,CX-5,2018,20995,32042
Lexus,RX,2020,45969,41312
Ford,Escape,2019,25479,29376
Nissan,Rogue,2019,21500,17625
Honda,HR-V,2019,24998,9725
Volkswagen,Jetta,2019,21995,33108
Chevrolet,Equinox,2019,21500,20830
Mercedes-Benz,Sprinter Cargo Van,2019,55181,25280
Nissan,Rogue,2016,17499,63859
Nissan,Rogue,2019,23295,20296
Nissan,Rogue,2019,23025,17671
Lexus,GX,2004,7000,196523
Mercedes-Benz,GLE,2020,54900,20955
Mitsubishi,Outlander,2020,20197,50884
Mercedes-Benz,E-Class,2014,14995,125172
Subaru,Crosstrek,2016,18995,93986
Mercedes-Benz,GLE,2020,56900,14858
Bentley,Bentayga,2018,145500,15766
Nissan,Rogue,2019,18480,65348
Jeep,Grand Cherokee,2018,28495,46475
Honda,Civic,2019,17899,41188
Mercedes-Benz,GLE,2020,52900,30790
Mazda,CX-5,2019,27889,21616
Audi,Q5,2021,45002,16164
Bentley,Flying Spur,2021,260995,1824
Ram,1500,2017,33995,57331
HUMMER,H3,2007,14995,80480
Toyota,Prius,2007,5200,158000
Lexus,NX,2021,39069,15020
Hyundai,Elantra,2020,15495,49986
Ford,Mustang,2020,27995,44851
Mercedes-Benz,GLS,2019,54900,23075
INFINITI,QX60,2019,29500,40116
Lexus,NX,2021,37598,20753
Porsche,Panamera,2019,81995,15931
Nissan,Sentra,2019,15995,51566
Chevrolet,Equinox,2019,20000,24174
BMW,X3,2013,10775,122776
Toyota,Corolla,2021,16988,59352
Ford,Edge,2016,23995,49686
Mercedes-Benz,E-Class,2017,32639,30252
Volvo,XC90,2020,43660,38473
Mercedes-Benz,M-Class,2015,19885,101626
Ford,F-150,2020,39000,25103
Ford,F-150,2021,46500,10032
Ford,F-150,2021,54997,4569
Ford,Edge,2020,31997,6522
BMW,M3,2022,96969,11092
Volkswagen,Tiguan,2019,24781,23159
Porsche,Cayenne,2021,94699,39508
Ford,Focus,2012,4495,139948
Jeep,Compass,2016,19568,18748
Mercedes-Benz,E-Class,2019,35000,41945
Nissan,Rogue,2016,8999,155153
Volvo,XC60,2019,40690,3733
Volkswagen,Jetta,2014,5950,175800
Hyundai,Elantra,2020,16295,46311
BMW,7 Series,2003,5995,189000
Mercedes-Benz,GLE,2016,55500,12922
Toyota,GR Supra,2020,55995,10666
Chevrolet,Traverse,2019,26361,30672
Toyota,Highlander,2019,27995,34228
Ford,F-150,2012,12599,115694
Mercedes-Benz,C-Class,2020,25995,67727
Mercedes-Benz,GLC,2022,52435,4810
Nissan,Rogue,2019,13900,152624
Honda,Pilot,2015,20569,69704
Mercedes-Benz,GLS,2019,56900,20370
Mercedes-Benz,Metris Cargo Van,2016,20395,117116
Jeep,Grand Cherokee,2018,22990,89380
Acura,TL,2006,13990,20343
Buick,Encore,2019,20000,16420
Ford,Mustang,2020,25495,48082
Porsche,Macan,2017,50500,20200
Hyundai,Sonata,2019,19495,47189
Audi,Q8,2019,58845,111
Ford,Edge,2020,24897,46188
Dodge,Challenger,2021,26495,28975
Mercedes-Benz,GLB,2022,46950,5521
Volkswagen,Rabbit,2008,7450,40867
Toyota,Highlander,2017,29889,57023
Mercedes-Benz,E-Class,2015,15500,115000
Nissan,Pathfinder,2020,33889,29798
Nissan,Murano,2019,31488,13479
Ford,Explorer,2016,19981,68496
Mercedes-Benz,GLC,2020,42815,38257
Subaru,Forester,2020,33388,16977
Mercedes-Benz,E-Class,2001,4995,140375
Porsche,911,2022,265500,307
Audi,Q5,2021,43402,7712
Ram,1500,2011,13199,100102
Honda,CR-V,2019,25899,31428
Chevrolet,Equinox,2019,21500,6187
Mazda,CX-9,2021,39995,8
Toyota,RAV4,2019,28995,28387
Honda,Civic,2018,18995,84548
Chevrolet,Equinox,2019,22000,20467
Jeep,Grand Cherokee,2020,32588,10825
Ford,Explorer,2021,33497,50788
BMW,3 Series,2012,13395,117790
Kia,Forte,2020,17797,61000
Chevrolet,Equinox,2021,18990,45476
Porsche,911,2020,130995,1922
Mercedes-Benz,GLS,2020,69900,15401
Audi,Q7,2013,20519,74705
Toyota,Camry,2020,21697,67912
Audi,Q5,2021,44858,16373
Mercedes-Benz,GLB,2020,41900,1430
Ford,Escape,2015,9599,115745
Dodge,Durango,2018,33995,31450
Chevrolet,Malibu,2021,22197,40211
Nissan,Sentra,2019,16995,59253
Mercedes-Benz,GLE,2018,42900,29618
BMW,M5,2006,18600,94010
Mercedes-Benz,GLE,2018,36995,47315
Ford,Explorer,2019,32995,17215
Ford,Mustang,2016,23495,3161
Nissan,Rogue,2019,22995,45448
Volkswagen,Tiguan,2018,23500,52734
Dodge,Charger,2014,6000,137000
Toyota,Camry,2021,24897,56200
Volvo,XC90,2019,49000,26900
Nissan,Maxima,2017,11995,154304
Volvo,XC90,2019,49500,23772
Nissan,Sentra,2019,16900,39195
Volvo,XC60,2019,38250,36973
Ford,Escape,2017,13995,69394
Volvo,XC90,2020,51220,43316
Chevrolet,Silverado 1500,2020,41500,27716
BMW,X1,2016,17981,94536
Honda,CR-V,2019,27941,65296
Mercedes-Benz,GLA,2019,28995,3621
Chevrolet,Equinox,2019,22900,12035
Nissan,Rogue,2019,17942,79732
Ford,Explorer,2019,30995,35519
Mercedes-Benz,E-Class,2019,66900,23168
INFINITI,QX60,2019,31495,37852
smart,fortwo,2015,8176,46970
Ram,1500,2014,16799,79859
Chevrolet,Traverse,2019,30000,14360
Porsche,911,2008,47500,58684
Toyota,RAV4,2017,16999,112726
Jeep,Grand Cherokee,2012,10995,112463
INFINITI,Q50,2019,29995,44247
Honda,Accord,2015,15999,87355
Nissan,Rogue,2019,16277,65265
Mercedes-Benz,Metris Cargo Van,2017,19900,113647
Honda,Accord,2019,22995,69502
Ford,Econoline Cargo Van,2014,13899,162111
Honda,Accord,2019,23981,43809
Hyundai,Santa Fe Sport,2017,14000,82140
Nissan,Altima,2019,27388,28234
Ford,F-150,2013,13999,149859
Toyota,Camry,2019,18900,118155
Ford,Fusion,2019,21998,54994
Chevrolet,Equinox,2019,17500,29125
Hyundai,Elantra,2020,17942,27419
Mercedes-Benz,A-Class,2020,36900,2018
Chevrolet,Malibu,2020,19500,57031
Nissan,Pathfinder,2020,22297,58030
Lexus,ES,2019,36869,9199
Volkswagen,Jetta,2019,15992,76254
Toyota,Corolla,2020,22499,28402
Honda,Civic,2019,20742,32558
Chrysler,Pacifica,2019,27995,29961
Honda,Civic,2019,20299,21131
Ford,Fusion,2014,8999,114812
Mercedes-Benz,GLS,2017,38995,90112
Chevrolet,Equinox,2019,19500,25038
Nissan,Rogue,2020,30488,13216
Chevrolet,Equinox,2019,22000,33902
Ford,Edge,2019,30888,29003
Toyota,Highlander,2018,30000,61429
Hyundai,Venue,2020,21388,4953
Nissan,Kicks,2018,19998,13325
BMW,X5,2018,30256,86000
Lexus,GX,2018,36000,50569
Mercedes-Benz,C-Class,2018,24981,65836
Toyota,Highlander,2019,35500,32702
Nissan,Sentra,2020,22998,14081
Hyundai,Sonata,2014,10999,92509
Chevrolet,Traverse,2019,18999,73994
Mercedes-Benz,Sprinter Cargo Van,2016,39117,69280
Chevrolet,Trax,2016,7999,161640
Toyota,RAV4,2021,27997,43895
Jeep,Grand Cherokee,2020,37995,24625
Honda,CR-V,2019,27495,25161
Chevrolet,Silverado 1500,2021,47500,19243
Toyota,Highlander,2021,42997,19271
Volvo,XC60,2021,42590,17253
Jeep,Wrangler,2018,34995,61629
Toyota,RAV4,2020,24797,60714
Nissan,Rogue Sport,2019,20295,45395
Volvo,XC60,2022,55900,102
Audi,Q5,2019,31628,52850
Nissan,Murano,2020,29044,8567
Subaru,Ascent,2019,33288,23023
Nissan,Sentra,2018,14998,64108
Jeep,Grand Cherokee,2015,18999,84622
BMW,5 Series,2019,33500,32429
Mercedes-Benz,GLS,2019,56900,36046
Mercedes-Benz,GLC,2019,49900,12571
Nissan,Rogue,2019,23998,38254
Subaru,Ascent,2020,32388,14136
Audi,A5,2018,31999,48635
Chevrolet,Equinox,2018,22500,10067
Dodge,Durango,2019,33995,36347
Honda,Odyssey,2020,35945,21556
Porsche,Taycan,2020,182500,3759
Audi,Q7,2019,45110,20202
Nissan,Murano,2019,25198,19175
Honda,CR-V,2014,14995,88336
Toyota,Camry,2018,17091,110000
Jeep,Grand Cherokee WK,2021,34197,45608
Bentley,Bentayga,2022,299500,986
Mazda,CX-3,2019,18995,40995
Ram,1500,2012,11995,135964
Honda,CR-V,2019,28041,35562
Jeep,Liberty,2012,8000,130000
Mazda,CX-5,2019,26998,19888
Jeep,Grand Cherokee,2018,25995,73445
Honda,Odyssey,2016,17942,94891
Toyota,Camry,2010,4995,77928
Chevrolet,Traverse,2019,32000,37845
Mercedes-Benz,C-Class,2018,24995,29256
Mercedes-Benz,S-Class,2008,9995,126149
Honda,Odyssey,2020,35996,14589
Ford,Fusion,2018,14499,76438
Nissan,Rogue,2021,31875,6302
Nissan,Altima,2020,19995,62207
Lamborghini,Urus,2022,329995,1519
Ford,Ranger,2019,31995,41293
Alfa,Romeo Stelvio,2022,81995,1797
Ford,Edge,2019,21942,66970
Nissan,Maxima,2020,22942,51371
Volkswagen,Passat,2015,16995,37816
Audi,Q3,2021,38478,13881
Toyota,Corolla,2020,17837,50673
Audi,Q5,2014,15812,94782
Ford,Econoline Cargo Van,2013,16199,100318
Nissan,Rogue,2019,27995,29270
Lexus,CT,2015,22995,52545
Porsche,911,2017,108800,27718
Ford,F-150,2019,38995,49455
Audi,Q5,2019,34747,25
Chrysler,Voyager,2021,24397,50173
Mercedes-Benz,R-Class,2008,4999,197800
Kia,Sorento,2016,14598,108544
Mercedes-Benz,M-Class,2015,24885,51362
Toyota,Corolla,2013,12542,78894
Lexus,ES,2022,44469,554
Honda,Pilot,2019,29998,85989
Land,Rover Range Rover,2018,63995,72989
Chevrolet,Equinox,2020,28500,8076
Nissan,Rogue,2020,28728,12980
Lincoln,Nautilus,2020,39949,19591
Porsche,911,2022,299500,281
Mercedes-Benz,G-Class,2018,99995,54475
Audi,A4,2014,8995,115538
Subaru,Forester,2021,27248,3196
Ford,Fusion,2020,20295,60570
Subaru,Outback,2019,30488,37675
Jeep,Wrangler,2014,20995,92530
Nissan,Sentra,2019,14990,61774
Honda,Odyssey,2011,9995,151106
Jeep,Compass,2020,24597,42427
Audi,S3,2020,42564,10430
Toyota,Highlander,2019,35000,38531
Ford,Explorer,2019,31995,28309
Mercedes-Benz,SL,2003,21999,21725
Nissan,Rogue Sport,2019,21889,35383
Acura,MDX,2019,40998,26043
Honda,Pilot,2020,27261,97508
Mercedes-Benz,GL,2014,19425,107471
Toyota,RAV4,2019,26875,24274
Audi,Q5,2021,43415,11033
Nissan,Frontier,2019,25897,53510
Nissan,Rogue,2016,16500,67041
Hyundai,Kona,2020,19995,6294
Lincoln,MKZ,2019,21995,104449
Audi,Q5,2019,32886,40646
Ford,Super Duty F-250,2013,32995,87238
Dodge,Ram 2500,2006,13199,118636
Jeep,Cherokee,2019,24777,29615
BMW,X3,2007,6059,125359
INFINITI,QX60,2016,21994,45378
Mazda,CX-5,2019,25542,36127
Nissan,Rogue,2018,26588,33060
Rolls-Royce,Phantom,2018,449500,5593
INFINITI,Q50,2018,30942,7613
Ford,Edge,2022,42754,7338
Porsche,Cayenne,2019,83500,24036
Jeep,Grand Cherokee,2019,32495,27537
Jeep,Wrangler,2016,34588,29642
Ford,Explorer,2020,36695,17793
Volkswagen,Tiguan,2018,23869,31550
Volkswagen,Atlas,2018,24295,85693
MINI,Countryman,2019,31995,18232
Ford,Focus,2014,7999,80036
Mercedes-Benz,Metris Cargo Van,2016,18950,125827
BMW,X3,2019,28995,65750
Kia,Sportage,2020,26000,19260
Toyota,Corolla,2020,19990,43396
Mercedes-Benz,GLE,2020,43888,52178
Ford,Transit Connect Van,2018,17099,107092
smart,fortwo,2014,6995,84129
Chevrolet,Traverse,2015,7799,126524
Honda,CR-V,2019,29712,25913
Ram,1500,2011,13995,142376
Nissan,Rogue,2016,13159,89000
Dodge,Durango,2018,29495,49718
Acura,RDX,2011,7999,166195
Honda,Odyssey,2015,14995,115418
Mercedes-Benz,C-Class,2016,24998,41003
Volvo,XC60,2020,41400,35038
Audi,S3,2020,26830,104600
Nissan,Rogue,2011,6499,128725
Mercedes-Benz,E-Class,2018,32000,42169
Ram,1500,2014,16999,110100
Ford,Edge,2020,22942,53306
Mercedes-Benz,GLS,2019,59193,30620
Jeep,Grand Cherokee,2019,28988,45530
Jeep,Grand Cherokee,2019,36400,16400
Audi,Q5,2018,30900,48361
Lexus,GS,2019,39869,16492
Mercedes-Benz,S-Class,2018,58995,26287
Cadillac,Escalade,2003,5999,150252
Subaru,Forester,2015,17588,67304
Ford,Edge,2019,28998,20024
Toyota,4Runner,2021,34597,43883
Honda,Odyssey,2014,12995,113008
Ford,Transit Connect Van,2011,8450,142530
Chevrolet,Camaro,2015,13700,98000
Honda,Civic,2012,10488,89000
Lexus,NX,2015,24869,31297
Toyota,Camry,2007,3840,210000
Mazda,CX-5,2020,28998,13218
Porsche,718 Boxster,2019,83995,10098
Dodge,Grand Caravan,2012,6495,104716
Ram,ProMaster Cargo Van,2019,35998,76012
Ford,Explorer,2016,22995,91392
Nissan,Rogue Sport,2019,22288,21047
Mercedes-Benz,GLC,2019,31500,42126
Mercedes-Benz,C-Class,2021,39842,11380
Lamborghini,Urus,2020,247500,42316
Toyota,C-HR,2021,26889,9332
Nissan,Pathfinder,2019,31788,27040
Toyota,Corolla,2021,19495,14539
GMC,Sierra 1500,2019,40000,40842
Ford,EcoSport,2021,24499,17420
Audi,SQ5,2018,36969,42011
Jeep,Grand Cherokee,2020,35500,32000
Chrysler,Town & Country,2013,8950,95152
Porsche,Cayenne,2021,127995,3474
Lexus,RX,2005,7750,152326
Acura,TLX,2020,25995,13768
Ford,Explorer,2019,31995,31822
Jeep,Grand Cherokee,2016,37995,104778
Ford,Fusion,2013,7995,136199
GMC,Sierra 1500,2021,43500,16822
Nissan,Sentra,2018,9995,104611
Ford,F-150,2020,41495,27357
Audi,Q5,2021,43646,9187
Ford,EcoSport,2020,18597,59015
Jeep,Cherokee,2019,25995,26249
Ford,Explorer,2017,19995,85285
